Sample Nº,Date,Time,Milliseconds,Tensão [V],? Tensão [V],Corrente [?A],? Corrente [?A],Pressão [mBar],? Pressão [mBar]
588,16-11-2021,17:28:26,866,13,10E-6,"44,52",10E-6,0,10E-6
589,16-11-2021,17:28:36,866,"16,83",10E-6,"55,65",10E-6,0,10E-6
590,16-11-2021,17:28:46,866,"19,21",10E-6,"64,82",10E-6,0,10E-6
591,16-11-2021,17:28:56,866,"21,72",10E-6,"72,67",10E-6,0,10E-6
592,16-11-2021,17:29:06,866,"21,32",10E-6,"79,87",10E-6,0,10E-6
593,16-11-2021,17:29:16,866,"21,85",10E-6,"88,06",10E-6,0,10E-6
594,16-11-2021,17:29:26,866,"27,27",10E-6,"95,58",10E-6,0,10E-6
595,16-11-2021,17:29:36,866,"28,06",10E-6,"99,51",10E-6,0,10E-6
596,16-11-2021,17:29:46,866,"23,83",10E-6,"95,26",10E-6,0,10E-6
597,16-11-2021,17:29:56,866,"22,38",10E-6,"80,53",10E-6,0,10E-6
598,16-11-2021,17:30:06,866,"19,34",10E-6,"65,8",10E-6,0,10E-6
599,16-11-2021,17:30:16,866,"20,66",10E-6,"55,65",10E-6,0,10E-6
600,16-11-2021,17:30:26,866,"15,12",10E-6,"43,87",10E-6,0,10E-6
601,16-11-2021,17:30:36,866,"12,34",10E-6,"35,68",10E-6,0,10E-6
602,16-11-2021,17:30:46,866,"13,27",10E-6,"29,46",10E-6,0,10E-6
603,16-11-2021,17:30:56,866,"9,303",10E-6,"10,15",10E-6,0,10E-6
604,16-11-2021,17:31:06,866,"2,039",10E-6,"-13,09",10E-6,0,10E-6
605,16-11-2021,17:31:16,866,"-2,32",10E-6,"-17,67",10E-6,0,10E-6
606,16-11-2021,17:31:26,866,"-6,547",10E-6,"-21,27",10E-6,0,10E-6
607,16-11-2021,17:31:36,866,"-6,679",10E-6,"-21,6",10E-6,0,10E-6
608,16-11-2021,17:31:46,866,"-12,89",10E-6,"-23,23",10E-6,0,10E-6
609,16-11-2021,17:31:56,866,"-15,66",10E-6,"-22,91",10E-6,0,10E-6
610,16-11-2021,17:32:06,866,"-16,72",10E-6,"-18,98",10E-6,0,10E-6
611,16-11-2021,17:32:16,866,"-19,23",10E-6,"-23,56",10E-6,0,10E-6
612,16-11-2021,17:32:26,866,"-20,94",10E-6,"-24,22",10E-6,0,10E-6
613,16-11-2021,17:32:36,866,"-22,93",10E-6,"-21,93",10E-6,0,10E-6
614,16-11-2021,17:32:46,866,"-24,64",10E-6,"-23,56",10E-6,0,10E-6
615,16-11-2021,17:32:56,866,"-22,79",10E-6,"-21,93",10E-6,0,10E-6
616,16-11-2021,17:33:06,866,"-25,3",10E-6,"-24,87",10E-6,0,10E-6
617,16-11-2021,17:33:16,866,"-26,76",10E-6,"-24,54",10E-6,0,10E-6
618,16-11-2021,17:33:26,866,"-27,15",10E-6,"-21,27",10E-6,0,10E-6
619,16-11-2021,17:33:36,866,"-28,08",10E-6,"-25,53",10E-6,0,10E-6
620,16-11-2021,17:33:46,866,"-25,83",10E-6,"-25,53",10E-6,0,10E-6
621,16-11-2021,17:33:56,866,"-21,74",10E-6,"-23,56",10E-6,0,10E-6
622,16-11-2021,17:34:06,866,"-16,45",10E-6,"-23,56",10E-6,0,10E-6
623,16-11-2021,17:34:16,866,"-9,453",10E-6,"-19,63",10E-6,0,10E-6
624,16-11-2021,17:34:26,866,"-4,434",10E-6,"-21,6",10E-6,0,10E-6
625,16-11-2021,17:34:36,866,"-1,396",10E-6,"-18,32",10E-6,0,10E-6
626,16-11-2021,17:34:46,866,"2,303",10E-6,"-1,631",10E-6,0,10E-6
627,16-11-2021,17:34:56,866,"5,341",10E-6,"11,46",10E-6,0,10E-6
628,16-11-2021,17:35:06,866,"11,68",10E-6,"24,55",10E-6,0,10E-6
629,16-11-2021,17:35:16,866,"11,68",10E-6,"36,01",10E-6,0,10E-6
630,16-11-2021,17:35:26,866,13,10E-6,"46,49",10E-6,0,10E-6
631,16-11-2021,17:35:36,866,"18,15",10E-6,"56,31",10E-6,0,10E-6
632,16-11-2021,17:35:46,866,"20,8",10E-6,"64,16",10E-6,0,10E-6
633,16-11-2021,17:35:56,866,"19,87",10E-6,"73,65",10E-6,0,10E-6
634,16-11-2021,17:36:06,866,"21,72",10E-6,"81,84",10E-6,0,10E-6
635,16-11-2021,17:36:16,866,"22,25",10E-6,"87,4",10E-6,0,10E-6
636,16-11-2021,17:36:26,866,"28,06",10E-6,"94,6",10E-6,0,10E-6
637,16-11-2021,17:36:36,866,"26,34",10E-6,"100,5",10E-6,0,10E-6
638,16-11-2021,17:36:46,866,"23,83",10E-6,"95,91",10E-6,0,10E-6
639,16-11-2021,17:36:56,866,"23,97",10E-6,"79,22",10E-6,0,10E-6
640,16-11-2021,17:37:06,866,"21,98",10E-6,"66,45",10E-6,0,10E-6
641,16-11-2021,17:37:16,866,"17,89",10E-6,55,10E-6,0,10E-6
642,16-11-2021,17:37:26,866,"15,38",10E-6,"45,18",10E-6,0,10E-6
643,16-11-2021,17:37:36,866,"12,47",10E-6,"35,03",10E-6,0,10E-6
644,16-11-2021,17:37:46,866,"14,19",10E-6,"28,16",10E-6,0,10E-6
645,16-11-2021,17:37:56,866,"8,379",10E-6,"11,46",10E-6,0,10E-6
646,16-11-2021,17:38:06,866,"2,303",10E-6,"-11,45",10E-6,0,10E-6
647,16-11-2021,17:38:16,866,"-1,792",10E-6,"-17,34",10E-6,0,10E-6
648,16-11-2021,17:38:26,866,"-5,755",10E-6,"-21,27",10E-6,0,10E-6
649,16-11-2021,17:38:36,866,"-8,264",10E-6,"-20,94",10E-6,0,10E-6
650,16-11-2021,17:38:46,866,"-12,49",10E-6,"-20,29",10E-6,0,10E-6
651,16-11-2021,17:38:56,866,"-16,06",10E-6,"-22,91",10E-6,0,10E-6
652,16-11-2021,17:39:06,866,"-15,4",10E-6,"-20,62",10E-6,0,10E-6
653,16-11-2021,17:39:16,866,"-18,3",10E-6,"-22,25",10E-6,0,10E-6
654,16-11-2021,17:39:26,866,"-21,21",10E-6,"-22,91",10E-6,0,10E-6
655,16-11-2021,17:39:36,866,"-22,93",10E-6,"-20,94",10E-6,0,10E-6
656,16-11-2021,17:39:46,866,"-24,51",10E-6,"-24,22",10E-6,0,10E-6
657,16-11-2021,17:39:56,866,"-22,53",10E-6,"-22,91",10E-6,0,10E-6
658,16-11-2021,17:40:06,866,"-25,7",10E-6,"-23,23",10E-6,0,10E-6
659,16-11-2021,17:40:16,866,"-27,15",10E-6,"-26,18",10E-6,0,10E-6
660,16-11-2021,17:40:26,866,"-25,83",10E-6,"-23,23",10E-6,0,10E-6
661,16-11-2021,17:40:36,866,"-25,44",10E-6,"-25,53",10E-6,0,10E-6
662,16-11-2021,17:40:46,866,"-27,28",10E-6,"-25,85",10E-6,0,10E-6
663,16-11-2021,17:40:56,866,"-21,74",10E-6,"-22,91",10E-6,0,10E-6
664,16-11-2021,17:41:06,866,"-16,59",10E-6,"-24,22",10E-6,0,10E-6
665,16-11-2021,17:41:16,866,"-7,208",10E-6,"-20,62",10E-6,0,10E-6
666,16-11-2021,17:41:26,866,"-5,49",10E-6,"-20,29",10E-6,0,10E-6
667,16-11-2021,17:41:36,866,"-1,924",10E-6,"-18,98",10E-6,0,10E-6
668,16-11-2021,17:41:46,866,"3,359",10E-6,"-321,7E-3",10E-6,0,10E-6
669,16-11-2021,17:41:56,866,"7,85",10E-6,"14,41",10E-6,0,10E-6
670,16-11-2021,17:42:06,866,"9,303",10E-6,"26,85",10E-6,0,10E-6
671,16-11-2021,17:42:16,866,"11,42",10E-6,"36,99",10E-6,0,10E-6
672,16-11-2021,17:42:26,866,"13,27",10E-6,"46,81",10E-6,0,10E-6
673,16-11-2021,17:42:36,866,20,10E-6,"58,27",10E-6,0,10E-6
674,16-11-2021,17:42:46,866,"19,47",10E-6,"66,78",10E-6,0,10E-6
675,16-11-2021,17:42:56,866,"18,95",10E-6,"73,98",10E-6,0,10E-6
676,16-11-2021,17:43:06,866,"23,3",10E-6,"81,51",10E-6,0,10E-6
677,16-11-2021,17:43:16,866,"25,81",10E-6,"89,37",10E-6,0,10E-6
678,16-11-2021,17:43:26,866,"25,15",10E-6,"95,58",10E-6,0,10E-6
679,16-11-2021,17:43:36,866,"25,68",10E-6,"100,2",10E-6,0,10E-6
680,16-11-2021,17:43:46,866,"23,97",10E-6,"95,26",10E-6,0,10E-6
681,16-11-2021,17:43:56,866,"26,34",10E-6,"81,18",10E-6,0,10E-6
682,16-11-2021,17:44:06,866,"20,66",10E-6,"65,8",10E-6,0,10E-6
683,16-11-2021,17:44:16,866,"16,96",10E-6,"55,65",10E-6,0,10E-6
684,16-11-2021,17:44:26,866,"16,7",10E-6,"45,18",10E-6,0,10E-6
685,16-11-2021,17:44:36,866,"15,25",10E-6,"36,67",10E-6,0,10E-6
686,16-11-2021,17:44:46,866,"12,21",10E-6,"29,14",10E-6,0,10E-6
687,16-11-2021,17:44:56,866,"7,454",10E-6,"11,79",10E-6,0,10E-6
688,16-11-2021,17:45:06,866,"1,906",10E-6,"-11,45",10E-6,0,10E-6
689,16-11-2021,17:45:16,866,"981,9E-3",10E-6,"-16,36",10E-6,0,10E-6
690,16-11-2021,17:45:26,866,"-5,094",10E-6,"-19,63",10E-6,0,10E-6
691,16-11-2021,17:45:36,866,"-9,717",10E-6,"-21,6",10E-6,0,10E-6
692,16-11-2021,17:45:46,866,"-12,09",10E-6,"-18,98",10E-6,0,10E-6
693,16-11-2021,17:45:56,866,"-14,34",10E-6,"-21,27",10E-6,0,10E-6
694,16-11-2021,17:46:06,866,"-16,19",10E-6,"-21,6",10E-6,0,10E-6
695,16-11-2021,17:46:16,866,"-19,62",10E-6,"-21,93",10E-6,0,10E-6
696,16-11-2021,17:46:26,866,"-21,87",10E-6,"-24,22",10E-6,0,10E-6
697,16-11-2021,17:46:36,866,"-20,02",10E-6,"-20,62",10E-6,0,10E-6
698,16-11-2021,17:46:46,866,"-22,79",10E-6,"-23,56",10E-6,0,10E-6
699,16-11-2021,17:46:56,866,"-25,17",10E-6,"-25,85",10E-6,0,10E-6
700,16-11-2021,17:47:06,866,"-25,83",10E-6,"-22,58",10E-6,0,10E-6
701,16-11-2021,17:47:16,866,"-26,36",10E-6,"-25,2",10E-6,0,10E-6
702,16-11-2021,17:47:26,866,"-25,04",10E-6,"-25,2",10E-6,0,10E-6
703,16-11-2021,17:47:36,866,"-27,55",10E-6,"-25,85",10E-6,0,10E-6
704,16-11-2021,17:47:46,866,"-28,21",10E-6,"-27,49",10E-6,0,10E-6
705,16-11-2021,17:47:56,866,"-19,23",10E-6,"-21,6",10E-6,0,10E-6
706,16-11-2021,17:48:06,866,"-13,81",10E-6,"-22,91",10E-6,0,10E-6
707,16-11-2021,17:48:16,866,"-10,77",10E-6,"-23,23",10E-6,0,10E-6
708,16-11-2021,17:48:26,866,"-6,019",10E-6,"-18,32",10E-6,0,10E-6
709,16-11-2021,17:48:36,866,"-1,396",10E-6,"-16,69",10E-6,0,10E-6
710,16-11-2021,17:48:46,866,"5,209",10E-6,"5,64E-3",10E-6,0,10E-6
711,16-11-2021,17:48:56,866,"5,737",10E-6,"14,41",10E-6,0,10E-6
712,16-11-2021,17:49:06,866,"7,85",10E-6,"26,19",10E-6,0,10E-6
713,16-11-2021,17:49:16,866,"14,19",10E-6,"39,28",10E-6,0,10E-6
714,16-11-2021,17:49:26,866,"16,83",10E-6,"48,45",10E-6,0,10E-6
715,16-11-2021,17:49:36,866,"15,91",10E-6,"56,63",10E-6,0,10E-6
716,16-11-2021,17:49:46,866,"18,55",10E-6,"65,47",10E-6,0,10E-6
717,16-11-2021,17:49:56,866,"20,27",10E-6,"74,64",10E-6,0,10E-6
718,16-11-2021,17:50:06,866,"25,02",10E-6,"82,16",10E-6,0,10E-6
719,16-11-2021,17:50:16,866,"23,3",10E-6,"87,4",10E-6,0,10E-6
720,16-11-2021,17:50:26,866,"23,17",10E-6,"93,29",10E-6,0,10E-6
721,16-11-2021,17:50:36,866,"28,85",10E-6,"100,5",10E-6,0,10E-6
722,16-11-2021,17:50:46,866,"28,46",10E-6,"95,91",10E-6,0,10E-6
723,16-11-2021,17:50:56,866,"21,72",10E-6,"79,22",10E-6,0,10E-6
724,16-11-2021,17:51:06,866,"20,13",10E-6,"66,78",10E-6,0,10E-6
725,16-11-2021,17:51:16,866,"17,76",10E-6,"55,32",10E-6,0,10E-6
726,16-11-2021,17:51:26,866,"18,81",10E-6,"45,5",10E-6,0,10E-6
727,16-11-2021,17:51:36,866,"13,53",10E-6,"35,68",10E-6,0,10E-6
728,16-11-2021,17:51:46,866,"10,62",10E-6,"27,83",10E-6,0,10E-6
729,16-11-2021,17:51:56,866,"9,436",10E-6,"14,74",10E-6,0,10E-6
730,16-11-2021,17:52:06,866,"4,812",10E-6,"-9,814",10E-6,0,10E-6
731,16-11-2021,17:52:16,866,"-2,056",10E-6,"-18,98",10E-6,0,10E-6
732,16-11-2021,17:52:26,866,"-6,283",10E-6,-18,10E-6,0,10E-6
733,16-11-2021,17:52:36,866,"-9,849",10E-6,"-20,29",10E-6,0,10E-6
734,16-11-2021,17:52:46,866,"-9,189",10E-6,"-19,63",10E-6,0,10E-6
735,16-11-2021,17:52:56,866,"-15,26",10E-6,"-21,93",10E-6,0,10E-6
736,16-11-2021,17:53:06,866,"-18,17",10E-6,"-23,56",10E-6,0,10E-6
737,16-11-2021,17:53:16,866,"-18,04",10E-6,"-19,31",10E-6,0,10E-6
738,16-11-2021,17:53:26,866,"-19,1",10E-6,"-22,58",10E-6,0,10E-6
739,16-11-2021,17:53:36,866,"-22,66",10E-6,"-25,53",10E-6,0,10E-6
740,16-11-2021,17:53:46,866,"-24,38",10E-6,"-23,56",10E-6,0,10E-6
741,16-11-2021,17:53:56,866,"-25,44",10E-6,"-25,53",10E-6,0,10E-6
742,16-11-2021,17:54:06,866,"-22,4",10E-6,"-23,56",10E-6,0,10E-6
743,16-11-2021,17:54:16,866,"-26,36",10E-6,"-26,18",10E-6,0,10E-6
744,16-11-2021,17:54:26,866,"-27,55",10E-6,"-27,49",10E-6,0,10E-6
745,16-11-2021,17:54:36,866,"-26,49",10E-6,"-22,91",10E-6,0,10E-6
746,16-11-2021,17:54:46,866,"-26,36",10E-6,"-25,2",10E-6,0,10E-6
747,16-11-2021,17:54:56,866,"-20,94",10E-6,"-25,2",10E-6,0,10E-6
748,16-11-2021,17:55:06,866,"-16,19",10E-6,"-21,93",10E-6,0,10E-6
749,16-11-2021,17:55:16,866,"-11,17",10E-6,"-21,27",10E-6,0,10E-6
750,16-11-2021,17:55:26,866,"-2,849",10E-6,"-17,34",10E-6,0,10E-6
751,16-11-2021,17:55:36,866,"-1,132",10E-6,"-17,34",10E-6,0,10E-6
752,16-11-2021,17:55:46,866,"1,774",10E-6,"-2,286",10E-6,0,10E-6
753,16-11-2021,17:55:56,866,"6,794",10E-6,"16,04",10E-6,0,10E-6
754,16-11-2021,17:56:06,866,"10,36",10E-6,"26,85",10E-6,0,10E-6
755,16-11-2021,17:56:16,866,"11,95",10E-6,"36,34",10E-6,0,10E-6
756,16-11-2021,17:56:26,866,"13,93",10E-6,"46,16",10E-6,0,10E-6
757,16-11-2021,17:56:36,866,"15,51",10E-6,"56,63",10E-6,0,10E-6
758,16-11-2021,17:56:46,866,"21,85",10E-6,"66,13",10E-6,0,10E-6
759,16-11-2021,17:56:56,866,"20,93",10E-6,"72,02",10E-6,0,10E-6
760,16-11-2021,17:57:06,866,"20,4",10E-6,"79,22",10E-6,0,10E-6
761,16-11-2021,17:57:16,866,"25,02",10E-6,"87,07",10E-6,0,10E-6
762,16-11-2021,17:57:26,866,"26,74",10E-6,"93,29",10E-6,0,10E-6
763,16-11-2021,17:57:36,866,"26,08",10E-6,"98,2",10E-6,0,10E-6
764,16-11-2021,17:57:46,866,"24,89",10E-6,"93,62",10E-6,0,10E-6
765,16-11-2021,17:57:56,866,"21,59",10E-6,"78,56",10E-6,0,10E-6
766,16-11-2021,17:58:06,866,"23,04",10E-6,"65,47",10E-6,0,10E-6
767,16-11-2021,17:58:16,866,"18,81",10E-6,"54,67",10E-6,0,10E-6
768,16-11-2021,17:58:26,866,"14,32",10E-6,"43,87",10E-6,0,10E-6
769,16-11-2021,17:58:36,866,"14,72",10E-6,"37,32",10E-6,0,10E-6
770,16-11-2021,17:58:46,866,"13,13",10E-6,"29,46",10E-6,0,10E-6
771,16-11-2021,17:58:56,866,"7,983",10E-6,"12,12",10E-6,0,10E-6
772,16-11-2021,17:59:06,866,"2,171",10E-6,"-10,14",10E-6,0,10E-6
773,16-11-2021,17:59:16,866,"-2,452",10E-6,"-18,32",10E-6,0,10E-6
774,16-11-2021,17:59:26,866,"-2,981",10E-6,"-17,02",10E-6,0,10E-6
775,16-11-2021,17:59:36,866,"-9,057",10E-6,"-20,94",10E-6,0,10E-6
776,16-11-2021,17:59:46,866,"-13,02",10E-6,"-22,25",10E-6,0,10E-6
777,16-11-2021,17:59:56,866,"-14,6",10E-6,"-18,32",10E-6,0,10E-6
778,16-11-2021,18:00:06,866,"-16,72",10E-6,"-21,93",10E-6,0,10E-6
779,16-11-2021,18:00:16,866,"-18,83",10E-6,"-23,89",10E-6,0,10E-6
780,16-11-2021,18:00:26,866,"-21,61",10E-6,"-23,56",10E-6,0,10E-6
781,16-11-2021,18:00:36,866,"-23,32",10E-6,"-25,2",10E-6,0,10E-6
782,16-11-2021,18:00:46,866,"-21,34",10E-6,"-22,58",10E-6,0,10E-6
783,16-11-2021,18:00:56,866,"-24,51",10E-6,"-26,18",10E-6,0,10E-6
784,16-11-2021,18:01:06,866,"-26,23",10E-6,"-27,16",10E-6,0,10E-6
785,16-11-2021,18:01:16,866,"-26,23",10E-6,"-22,58",10E-6,0,10E-6
786,16-11-2021,18:01:26,866,"-26,89",10E-6,"-25,53",10E-6,0,10E-6
787,16-11-2021,18:01:36,866,"-26,23",10E-6,"-26,83",10E-6,0,10E-6
788,16-11-2021,18:01:46,866,"-28,08",10E-6,"-25,53",10E-6,0,10E-6
789,16-11-2021,18:01:56,866,-22,10E-6,"-24,22",10E-6,0,10E-6
790,16-11-2021,18:02:06,866,"-13,55",10E-6,"-19,31",10E-6,0,10E-6
791,16-11-2021,18:02:16,866,"-9,585",10E-6,"-21,27",10E-6,0,10E-6
792,16-11-2021,18:02:26,866,"-6,283",10E-6,"-20,29",10E-6,0,10E-6
793,16-11-2021,18:02:36,866,"-1,396",10E-6,"-13,41",10E-6,0,10E-6
794,16-11-2021,18:02:46,866,"2,567",10E-6,"-976,3E-3",10E-6,0,10E-6
795,16-11-2021,18:02:56,866,"7,19",10E-6,"13,43",10E-6,0,10E-6
796,16-11-2021,18:03:06,866,"8,511",10E-6,"25,54",10E-6,0,10E-6
797,16-11-2021,18:03:16,866,"10,76",10E-6,"36,99",10E-6,0,10E-6
798,16-11-2021,18:03:26,866,"17,1",10E-6,"47,79",10E-6,0,10E-6
799,16-11-2021,18:03:36,866,"17,76",10E-6,"54,67",10E-6,0,10E-6
800,16-11-2021,18:03:46,866,"17,23",10E-6,"62,85",10E-6,0,10E-6
801,16-11-2021,18:03:56,866,"21,06",10E-6,"72,02",10E-6,0,10E-6
802,16-11-2021,18:04:06,866,"23,04",10E-6,"79,87",10E-6,0,10E-6
803,16-11-2021,18:04:16,866,"24,36",10E-6,"85,44",10E-6,0,10E-6
804,16-11-2021,18:04:26,866,"24,23",10E-6,"91,66",10E-6,0,10E-6
805,16-11-2021,18:04:36,866,"24,49",10E-6,"98,2",10E-6,0,10E-6
806,16-11-2021,18:04:46,866,"28,59",10E-6,"95,26",10E-6,0,10E-6
807,16-11-2021,18:04:56,866,"24,1",10E-6,"77,91",10E-6,0,10E-6
808,16-11-2021,18:05:06,866,"19,08",10E-6,"65,8",10E-6,0,10E-6
809,16-11-2021,18:05:16,866,"18,68",10E-6,"55,32",10E-6,0,10E-6
810,16-11-2021,18:05:26,866,"16,7",10E-6,"45,5",10E-6,0,10E-6
811,16-11-2021,18:05:36,866,"14,32",10E-6,"36,34",10E-6,0,10E-6
812,16-11-2021,18:05:46,866,"11,15",10E-6,"28,48",10E-6,0,10E-6
813,16-11-2021,18:05:56,866,"7,058",10E-6,"12,77",10E-6,0,10E-6
814,16-11-2021,18:06:06,866,"5,077",10E-6,"-7,85",10E-6,0,10E-6
815,16-11-2021,18:06:16,866,"-1,396",10E-6,"-18,65",10E-6,0,10E-6
816,16-11-2021,18:06:26,866,"-6,415",10E-6,"-20,62",10E-6,0,10E-6
817,16-11-2021,18:06:36,866,"-9,057",10E-6,"-17,02",10E-6,0,10E-6
818,16-11-2021,18:06:46,866,"-12,09",10E-6,"-20,94",10E-6,0,10E-6
819,16-11-2021,18:06:56,866,"-14,34",10E-6,"-23,23",10E-6,0,10E-6
820,16-11-2021,18:07:06,866,"-17,91",10E-6,"-22,91",10E-6,0,10E-6
821,16-11-2021,18:07:16,866,"-20,02",10E-6,"-24,54",10E-6,0,10E-6
822,16-11-2021,18:07:26,866,"-18,7",10E-6,"-21,93",10E-6,0,10E-6
823,16-11-2021,18:07:36,866,-22,10E-6,"-25,53",10E-6,0,10E-6
824,16-11-2021,18:07:46,866,"-24,51",10E-6,"-27,16",10E-6,0,10E-6
825,16-11-2021,18:07:56,866,"-24,78",10E-6,"-22,25",10E-6,0,10E-6
826,16-11-2021,18:08:06,866,"-25,57",10E-6,"-25,2",10E-6,0,10E-6
827,16-11-2021,18:08:16,866,"-25,3",10E-6,"-26,51",10E-6,0,10E-6
828,16-11-2021,18:08:26,866,"-27,55",10E-6,"-25,53",10E-6,0,10E-6
829,16-11-2021,18:08:36,866,"-27,95",10E-6,"-25,53",10E-6,0,10E-6
830,16-11-2021,18:08:46,866,"-25,3",10E-6,"-22,25",10E-6,0,10E-6
831,16-11-2021,18:08:56,866,"-20,55",10E-6,"-23,89",10E-6,0,10E-6
832,16-11-2021,18:09:06,866,"-16,32",10E-6,"-22,91",10E-6,0,10E-6
833,16-11-2021,18:09:16,866,"-10,51",10E-6,"-17,02",10E-6,0,10E-6
834,16-11-2021,18:09:26,866,"-5,755",10E-6,"-18,32",10E-6,0,10E-6
835,16-11-2021,18:09:36,866,"57,26E-3",10E-6,"-16,36",10E-6,0,10E-6
836,16-11-2021,18:09:46,866,"2,039",10E-6,"-1,958",10E-6,0,10E-6
837,16-11-2021,18:09:56,866,"5,209",10E-6,"14,41",10E-6,0,10E-6
838,16-11-2021,18:10:06,866,"11,81",10E-6,"27,83",10E-6,0,10E-6
839,16-11-2021,18:10:16,866,13,10E-6,"35,36",10E-6,0,10E-6
840,16-11-2021,18:10:26,866,"13,13",10E-6,"44,85",10E-6,0,10E-6
841,16-11-2021,18:10:36,866,"17,36",10E-6,"55,32",10E-6,0,10E-6
842,16-11-2021,18:10:46,866,"19,87",10E-6,"64,16",10E-6,0,10E-6
843,16-11-2021,18:10:56,866,"21,06",10E-6,"71,36",10E-6,0,10E-6
844,16-11-2021,18:11:06,866,"21,46",10E-6,"78,24",10E-6,0,10E-6
845,16-11-2021,18:11:16,866,"22,12",10E-6,"86,09",10E-6,0,10E-6
846,16-11-2021,18:11:26,866,"28,19",10E-6,"93,62",10E-6,0,10E-6
847,16-11-2021,18:11:36,866,27,10E-6,"97,88",10E-6,0,10E-6
848,16-11-2021,18:11:46,866,"23,83",10E-6,"93,95",10E-6,0,10E-6
849,16-11-2021,18:11:56,866,"23,97",10E-6,"79,55",10E-6,0,10E-6
850,16-11-2021,18:12:06,866,"21,46",10E-6,"65,47",10E-6,0,10E-6
851,16-11-2021,18:12:16,866,"18,55",10E-6,"55,98",10E-6,0,10E-6
852,16-11-2021,18:12:26,866,"15,25",10E-6,"44,85",10E-6,0,10E-6
853,16-11-2021,18:12:36,866,"12,87",10E-6,"37,32",10E-6,0,10E-6
854,16-11-2021,18:12:46,866,"14,98",10E-6,"31,1",10E-6,0,10E-6
855,16-11-2021,18:12:56,866,"7,983",10E-6,"12,12",10E-6,0,10E-6
856,16-11-2021,18:13:06,866,"2,039",10E-6,"-11,12",10E-6,0,10E-6
857,16-11-2021,18:13:16,866,"-1,132",10E-6,"-14,72",10E-6,0,10E-6
858,16-11-2021,18:13:26,866,"-4,698",10E-6,"-19,31",10E-6,0,10E-6
859,16-11-2021,18:13:36,866,"-8,925",10E-6,"-21,93",10E-6,0,10E-6
860,16-11-2021,18:13:46,866,"-12,89",10E-6,"-21,27",10E-6,0,10E-6
861,16-11-2021,18:13:56,866,"-15,66",10E-6,"-23,56",10E-6,0,10E-6
862,16-11-2021,18:14:06,866,"-14,34",10E-6,"-21,6",10E-6,0,10E-6
863,16-11-2021,18:14:16,866,"-19,36",10E-6,"-24,87",10E-6,0,10E-6
864,16-11-2021,18:14:26,866,"-21,74",10E-6,"-26,51",10E-6,0,10E-6
865,16-11-2021,18:14:36,866,-22,10E-6,"-21,93",10E-6,0,10E-6
866,16-11-2021,18:14:46,866,"-22,79",10E-6,"-24,54",10E-6,0,10E-6
867,16-11-2021,18:14:56,866,"-24,51",10E-6,"-26,51",10E-6,0,10E-6
868,16-11-2021,18:15:06,866,"-26,23",10E-6,"-24,54",10E-6,0,10E-6
869,16-11-2021,18:15:16,866,"-27,02",10E-6,"-25,2",10E-6,0,10E-6
870,16-11-2021,18:15:26,866,"-24,11",10E-6,"-22,58",10E-6,0,10E-6
871,16-11-2021,18:15:36,866,"-27,15",10E-6,"-24,87",10E-6,0,10E-6
872,16-11-2021,18:15:46,866,"-28,08",10E-6,"-25,85",10E-6,0,10E-6
873,16-11-2021,18:15:56,866,"-20,94",10E-6,"-19,63",10E-6,0,10E-6
874,16-11-2021,18:16:06,866,"-14,87",10E-6,"-20,62",10E-6,0,10E-6
875,16-11-2021,18:16:16,866,"-9,981",10E-6,"-20,62",10E-6,0,10E-6
876,16-11-2021,18:16:26,866,"-6,019",10E-6,-18,10E-6,0,10E-6
877,16-11-2021,18:16:36,866,"-1,924",10E-6,"-16,36",10E-6,0,10E-6
878,16-11-2021,18:16:46,866,"5,605",10E-6,"5,64E-3",10E-6,0,10E-6
879,16-11-2021,18:16:56,866,"6,133",10E-6,"12,77",10E-6,0,10E-6
880,16-11-2021,18:17:06,866,"7,85",10E-6,"24,23",10E-6,0,10E-6
881,16-11-2021,18:17:16,866,"13,27",10E-6,"36,67",10E-6,0,10E-6
882,16-11-2021,18:17:26,866,"16,57",10E-6,"45,83",10E-6,0,10E-6
883,16-11-2021,18:17:36,866,"16,17",10E-6,"54,01",10E-6,0,10E-6
884,16-11-2021,18:17:46,866,"18,15",10E-6,"62,52",10E-6,0,10E-6
885,16-11-2021,18:17:56,866,"19,74",10E-6,"71,36",10E-6,0,10E-6
886,16-11-2021,18:18:06,866,"25,68",10E-6,"79,87",10E-6,0,10E-6
887,16-11-2021,18:18:16,866,"23,57",10E-6,"85,44",10E-6,0,10E-6
888,16-11-2021,18:18:26,866,"23,17",10E-6,"91,98",10E-6,0,10E-6
889,16-11-2021,18:18:36,866,"28,46",10E-6,"99,18",10E-6,0,10E-6
890,16-11-2021,18:18:46,866,"28,46",10E-6,"95,26",10E-6,0,10E-6
891,16-11-2021,18:18:56,866,"21,98",10E-6,"79,22",10E-6,0,10E-6
892,16-11-2021,18:19:06,866,"20,13",10E-6,"66,78",10E-6,0,10E-6
893,16-11-2021,18:19:16,866,"17,36",10E-6,"55,65",10E-6,0,10E-6
894,16-11-2021,18:19:26,866,"18,95",10E-6,"46,49",10E-6,0,10E-6
895,16-11-2021,18:19:36,866,"13,4",10E-6,"36,34",10E-6,0,10E-6
896,16-11-2021,18:19:46,866,"10,49",10E-6,"28,48",10E-6,0,10E-6
